Company Name,Source LEI,Extracted LEI,Match,Processing Time (s),Search URL,Error
MADJIK LIMITED,894500ZQR075WQ6ANN31,894500ZQR075WQ6ANN31,Match,4.387586199969519,https://search.gleif.org/#/search/simpleSearch=MADJIK+LIMITED&perPage=200,
CALDERWOOD WEALTH MANAGEMENT LIMITED,9845009DFBA2D58E5964,9845009DFBA2D58E5964,Match,6.123120199947152,https://search.gleif.org/#/search/simpleSearch=CALDERWOOD+WEALTH+MANAGEMENT+LIMITED&perPage=200,
GRUNDY & CO. EXCAVATIONS LIMITED,213800DG9FGSHJ32EG26,213800DG9FGSHJ32EG26,Match,6.283845499972813,https://search.gleif.org/#/search/simpleSearch=GRUNDY+%26+CO.+EXCAVATIONS+LIMITED&perPage=200,
NIGHTVISION BIDCO LIMITED,2549007IBWBQC6WAEN12,2549007IBWBQC6WAEN12,Match,6.698468899994623,https://search.gleif.org/#/search/simpleSearch=NIGHTVISION+BIDCO+LIMITED&perPage=200,
DORIS TECHNOLOGIES LTD,9845001A3CFAEFBB8746,9845001A3CFAEFBB8746,Match,4.576733099995181,https://search.gleif.org/#/search/simpleSearch=DORIS+TECHNOLOGIES+LTD&perPage=200,
MORRINSON WEALTH MANAGEMENT LLP,984500F98012EAW89E22,984500F98012EAW89E22,Match,4.538875999976881,https://search.gleif.org/#/search/simpleSearch=MORRINSON+WEALTH+MANAGEMENT+LLP&perPage=200,
The Patricia Forder Deceased Will Trust,98450086DBEC3AB0A022,98450086DBEC3AB0A022,Match,5.222067800001241,https://search.gleif.org/#/search/simpleSearch=The+Patricia+Forder+Deceased+Will+Trust&perPage=200,
A.F.MONK(ROOKLEY)LIMITED,213800CAM6ZYTLZFMS84,213800CAM6ZYTLZFMS84,Match,5.6885117999627255,https://search.gleif.org/#/search/simpleSearch=A.F.MONK%28ROOKLEY%29LIMITED&perPage=200,
JP PRIVATE CLIENTS 2019 LLP,9845003E690C65976086,9845003E690C65976086,Match,4.717311699991114,https://search.gleif.org/#/search/simpleSearch=JP+PRIVATE+CLIENTS+2019+LLP&perPage=200,
SHC Technology LTD,8755007YAZFSOI5VIL66,8755007YAZFSOI5VIL66,Match,4.153948499995749,https://search.gleif.org/#/search/simpleSearch=SHC+Technology+LTD&perPage=200,
THE ANDREW TIDSWELL 2018 DISCRETIONARY SETTLEMENT,213800JAR9TUCVZ9O702,213800JAR9TUCVZ9O702,Match,4.555540399975143,https://search.gleif.org/#/search/simpleSearch=THE+ANDREW+TIDSWELL+2018+DISCRETIONARY+SETTLEMENT&perPage=200,
NAMECO (NO. 1296) LIMITED,213800DJYL7HRLHELH67,213800DJYL7HRLHELH67,Match,3.9838425000198185,https://search.gleif.org/#/search/simpleSearch=NAMECO+%28NO.+1296%29+LIMITED&perPage=200,
"NIBLETT WILL TRUST, EDWARD",213800UNCNDXGALDMK45,213800UNCNDXGALDMK45,Match,5.511435299995355,https://search.gleif.org/#/search/simpleSearch=NIBLETT+WILL+TRUST%2C+EDWARD&perPage=200,
BOAG ENGLAND FINANCIAL PLANNING LLP,984500A4F6ZF00F55406,984500A4F6ZF00F55406,Match,3.911955899966415,https://search.gleif.org/#/search/simpleSearch=BOAG+ENGLAND+FINANCIAL+PLANNING+LLP&perPage=200,
BEARMONKEY CONSULTING LIMITED,984500C7441C1B636F14,984500C7441C1B636F14,Match,3.7881225000019185,https://search.gleif.org/#/search/simpleSearch=BEARMONKEY+CONSULTING+LIMITED&perPage=200,
BARCLAY LIMITED,98450083FU58A8EA9958,98450083FU58A8EA9958,Match,4.498770400008652,https://search.gleif.org/#/search/simpleSearch=BARCLAY+LIMITED&perPage=200,
LF ABRDN INVESTMENT FUND,213800B2X9HU7MGVHO42,213800B2X9HU7MGVHO42,Match,4.189621799974702,https://search.gleif.org/#/search/simpleSearch=LF+ABRDN+INVESTMENT+FUND&perPage=200,
DRLM INVESTMENTS LIMITED,213800GD59T7MV258161,213800GD59T7MV258161,Match,4.018353799998295,https://search.gleif.org/#/search/simpleSearch=DRLM+INVESTMENTS+LIMITED&perPage=200,
FAST WORLD MEDIA LIMITED,9845007455CCE6C0F572,9845007455CCE6C0F572,Match,3.2644087000517175,https://search.gleif.org/#/search/simpleSearch=FAST+WORLD+MEDIA+LIMITED&perPage=200,
ACCOLADE FOODS LIMITED,984500DAF37569E4A773,984500DAF37569E4A773,Match,4.757326700026169,https://search.gleif.org/#/search/simpleSearch=ACCOLADE+FOODS+LIMITED&perPage=200,
GRAPHCORE LIMITED,2138005VYMBO7MVKSF89,2138005VYMBO7MVKSF89,Match,3.910430899995845,https://search.gleif.org/#/search/simpleSearch=GRAPHCORE+LIMITED&perPage=200,
BERKELEY CHARTERHOUSE LIMITED,9845007D3D436B58E018,9845007D3D436B58E018,Match,4.367322199977934,https://search.gleif.org/#/search/simpleSearch=BERKELEY+CHARTERHOUSE+LIMITED&perPage=200,
C E KNIGHT 2021 DISCRETIONARY SETTLEMENT,2549008XP2SK087IXK50,2549008XP2SK087IXK50,Match,4.680813599959947,https://search.gleif.org/#/search/simpleSearch=C+E+KNIGHT+2021+DISCRETIONARY+SETTLEMENT&perPage=200,
TARSUS GROUP LIMITED,213800U6JCSGDSVTMO80,213800U6JCSGDSVTMO80,Match,5.308608299994376,https://search.gleif.org/#/search/simpleSearch=TARSUS+GROUP+LIMITED&perPage=200,
POSTURITE LIMITED,549300VI3THPO10XLR97,549300VI3THPO10XLR97,Match,4.74897219997365,https://search.gleif.org/#/search/simpleSearch=POSTURITE+LIMITED&perPage=200,
J BELLAMY TRUST,213800HJ9SPK516X1915,213800HJ9SPK516X1915,Match,3.4657414999674074,https://search.gleif.org/#/search/simpleSearch=J+BELLAMY+TRUST&perPage=200,
Frogface Limited,2549007SU4UCTQJ1IZ95,2549007SU4UCTQJ1IZ95,Match,4.471125399984885,https://search.gleif.org/#/search/simpleSearch=Frogface+Limited&perPage=200,
HS1 LIMITED,213800FADTCJFWJ79G11,213800FADTCJFWJ79G11,Match,5.378030699968804,https://search.gleif.org/#/search/simpleSearch=HS1+LIMITED&perPage=200,
JULIANS SUPERMARKETS LIMITED,984500YDFB490F46XC29,984500YDFB490F46XC29,Match,4.394112200010568,https://search.gleif.org/#/search/simpleSearch=JULIANS+SUPERMARKETS+LIMITED&perPage=200,
THE PITTAWAY 2005 SETTLEMENT,213800IRIOEC3Q41LG81,213800IRIOEC3Q41LG81,Match,3.7739774999790825,https://search.gleif.org/#/search/simpleSearch=THE+PITTAWAY+2005+SETTLEMENT&perPage=200,
CQS RCR III Feeder Fund Limited,254900RJST8YTGHH9708,254900RJST8YTGHH9708,Match,4.4480283000157215,https://search.gleif.org/#/search/simpleSearch=CQS+RCR+III+Feeder+Fund+Limited&perPage=200,
SSV CAPITAL PLC,213800RNXQZZW58Q3D18,213800RNXQZZW58Q3D18,Match,4.653407099947799,https://search.gleif.org/#/search/simpleSearch=SSV+CAPITAL+PLC&perPage=200,
LITTLE DRUMMER BOY LIMITED,984500DE7C53OFC57B55,984500DE7C53OFC57B55,Match,4.269914600008633,https://search.gleif.org/#/search/simpleSearch=LITTLE+DRUMMER+BOY+LIMITED&perPage=200,
ADVANCED ASSET CONSULTANTS LTD,2138008J8PM7BHJXSF12,2138008J8PM7BHJXSF12,Match,3.750321100000292,https://search.gleif.org/#/search/simpleSearch=ADVANCED+ASSET+CONSULTANTS+LTD&perPage=200,
MS FOUNDATION LIMITED,21380025M6CYIV3GBI40,21380025M6CYIV3GBI40,Match,4.782875500037335,https://search.gleif.org/#/search/simpleSearch=MS+FOUNDATION+LIMITED&perPage=200,
Tenstone Limited,89450016YLUZ2JJ82775,89450016YLUZ2JJ82775,Match,5.00601509999251,https://search.gleif.org/#/search/simpleSearch=Tenstone+Limited&perPage=200,
Mrs M R Godfrey Will Trust,25490040RJCT5UEB9J23,25490040RJCT5UEB9J23,Match,4.799077000003308,https://search.gleif.org/#/search/simpleSearch=Mrs+M+R+Godfrey+Will+Trust&perPage=200,
LINIK MASTER FUND LIMITED,213800QHI3ZGMH2XLJ34,213800QHI3ZGMH2XLJ34,Match,5.080382699961774,https://search.gleif.org/#/search/simpleSearch=LINIK+MASTER+FUND+LIMITED&perPage=200,
TOWN & COUNTRY SIGNS (1996) PENSION FUND,213800PSQF65A52J5Q46,549300MJX2P7OC8U1N30,Not Match,5.3697118000127375,https://search.gleif.org/#/search/simpleSearch=TOWN+%26+COUNTRY+SIGNS+%281996%29+PENSION+FUND&perPage=200,
BLUEDRIVE GLOBAL INVESTORS LLP,213800YE6EFV1SG55H73,213800YE6EFV1SG55H73,Match,3.7413482000119984,https://search.gleif.org/#/search/simpleSearch=BLUEDRIVE+GLOBAL+INVESTORS+LLP&perPage=200,
ALEXANDER JAMES PENSION SCHEME,2138006U47M3HZ5O8L03,2138006U47M3HZ5O8L03,Match,4.239330200012773,https://search.gleif.org/#/search/simpleSearch=ALEXANDER+JAMES+PENSION+SCHEME&perPage=200,
IAN WILLIAMSON CRITCHLEY FAMILY TRUST 2013 NUMBER 9,213800DQOET9BVTB4X83,213800DQOET9BVTB4X83,Match,4.444840999960434,https://search.gleif.org/#/search/simpleSearch=IAN+WILLIAMSON+CRITCHLEY+FAMILY+TRUST+2013+NUMBER+9&perPage=200,
ALTUM CAPITAL MANAGEMENT (UK) LIMITED,549300QZNAQWJTVTR291,549300QZNAQWJTVTR291,Match,3.7194580000359565,https://search.gleif.org/#/search/simpleSearch=ALTUM+CAPITAL+MANAGEMENT+%28UK%29+LIMITED&perPage=200,
KELSO GROUP HOLDINGS PLC,213800K4RRUZLUE5GC02,213800K4RRUZLUE5GC02,Match,3.6530446999822743,https://search.gleif.org/#/search/simpleSearch=KELSO+GROUP+HOLDINGS+PLC&perPage=200,
HV Goodall Directors Pension Scheme,984500D765536667UB56,984500D765536667UB56,Match,4.570144500001334,https://search.gleif.org/#/search/simpleSearch=HV+Goodall+Directors+Pension+Scheme&perPage=200,
FARGO SYSTEMS LIMITED,8945001PKSSBK5YRN940,8945001PKSSBK5YRN940,Match,3.5452608999912627,https://search.gleif.org/#/search/simpleSearch=FARGO+SYSTEMS+LIMITED&perPage=200,
Alternative Investments Access ICAV,254900AQPNRMO01M9C82,254900AQPNRMO01M9C82,Match,3.9712434000102803,https://search.gleif.org/#/search/simpleSearch=Alternative+Investments+Access+ICAV&perPage=200,
THE CORNWALL MARK FOUNDATION,213800Z5TGJ7GSTIPX13,213800Z5TGJ7GSTIPX13,Match,5.1320806999574415,https://search.gleif.org/#/search/simpleSearch=THE+CORNWALL+MARK+FOUNDATION&perPage=200,
EMS PHYSIO LTD,213800JOY5KBJDINOQ46,213800JOY5KBJDINOQ46,Match,4.935796000005212,https://search.gleif.org/#/search/simpleSearch=EMS+PHYSIO+LTD&perPage=200,
ARKOSE LTD SSAS,213800DPFOORPYSRYS29,213800DPFOORPYSRYS29,Match,3.489960099977907,https://search.gleif.org/#/search/simpleSearch=ARKOSE+LTD+SSAS&perPage=200,
C D ROBINSON WILL TRUST,213800RNC4RB546Q8G56,213800RNC4RB546Q8G56,Match,5.842196799989324,https://search.gleif.org/#/search/simpleSearch=C+D+ROBINSON+WILL+TRUST&perPage=200,
J P Martin Settlement,984500044A990L3CCU88,984500044A990L3CCU88,Match,4.96016120002605,https://search.gleif.org/#/search/simpleSearch=J+P+Martin+Settlement&perPage=200,
SPARTAN RAVERS INVESTMENTS LTD,98450096693F44VC4F88,98450096693F44VC4F88,Match,5.0133723999606445,https://search.gleif.org/#/search/simpleSearch=SPARTAN+RAVERS+INVESTMENTS+LTD&perPage=200,
RATSTANDS BARNES LIMITED,984500F3C6BI87846B60,984500F3C6BI87846B60,Match,3.29827299999306,https://search.gleif.org/#/search/simpleSearch=RATSTANDS+BARNES+LIMITED&perPage=200,
NELL BAY INVESTMENT COMPANY,213800EKDLNL6YJCIO31,213800EKDLNL6YJCIO31,Match,4.201848800003063,https://search.gleif.org/#/search/simpleSearch=NELL+BAY+INVESTMENT+COMPANY&perPage=200,
THE KATIE MORTON LIFE INTEREST SETTLEMENT,213800YR9O8DDOF1Y543,213800YR9O8DDOF1Y543,Match,5.235924100037664,https://search.gleif.org/#/search/simpleSearch=THE+KATIE+MORTON+LIFE+INTEREST+SETTLEMENT&perPage=200,
ALTRO GROUP PLC(THE),213800D146SXTAZK3G09,213800D146SXTAZK3G09,Match,7.441068199987058,https://search.gleif.org/#/search/simpleSearch=ALTRO+GROUP+PLC%28THE%29&perPage=200,
BALTIC SEA OFFSHORE HOLDCO LIMITED,213800EQ7QGIS4SS1N81,213800EQ7QGIS4SS1N81,Match,3.513781299989205,https://search.gleif.org/#/search/simpleSearch=BALTIC+SEA+OFFSHORE+HOLDCO+LIMITED&perPage=200,
THE TECH ALCHEMIST LIMITED,984500X72F85C9CBB786,984500X72F85C9CBB786,Match,4.024083200027235,https://search.gleif.org/#/search/simpleSearch=THE+TECH+ALCHEMIST+LIMITED&perPage=200,
BSI LIMITED,213800A5ZKGAB6TTVL17,213800A5ZKGAB6TTVL17,Match,4.9930471000261605,https://search.gleif.org/#/search/simpleSearch=BSI+LIMITED&perPage=200,
T B KNIGHT 2021 DISCRETIONARY SETTLEMENT,254900467NYMAHB3DF49,254900467NYMAHB3DF49,Match,4.096694500010926,https://search.gleif.org/#/search/simpleSearch=T+B+KNIGHT+2021+DISCRETIONARY+SETTLEMENT&perPage=200,
ELKPETE,213800T8GBK76VPPPF70,213800T8GBK76VPPPF70,Match,3.3538182000047527,https://search.gleif.org/#/search/simpleSearch=ELKPETE&perPage=200,
TAYLOR NELSON SOFRES INTERNATIONAL LIMITED,549300YC1UZHLEQ8SF27,549300YC1UZHLEQ8SF27,Match,4.5881375999888405,https://search.gleif.org/#/search/simpleSearch=TAYLOR+NELSON+SOFRES+INTERNATIONAL+LIMITED&perPage=200,
QVIS LIGHTING & SECURITY LIMITED,21380034U6MSC1UV3T82,21380034U6MSC1UV3T82,Match,4.6703420000267215,https://search.gleif.org/#/search/simpleSearch=QVIS+LIGHTING+%26+SECURITY+LIMITED&perPage=200,
BAPTIST UNION CORPORATION LIMITED(THE),213800XQNGMW2ST7FQ03,213800XQNGMW2ST7FQ03,Match,4.988180799991824,https://search.gleif.org/#/search/simpleSearch=BAPTIST+UNION+CORPORATION+LIMITED%28THE%29&perPage=200,
A-DATA LIMITED,213800DOIQC8AQU3TE29,213800DOIQC8AQU3TE29,Match,4.066421499999706,https://search.gleif.org/#/search/simpleSearch=A-DATA+LIMITED&perPage=200,
R J SHEPPARD WILL TRUST,213800XJ4YXLESJGDH97,213800XJ4YXLESJGDH97,Match,6.229901899991091,https://search.gleif.org/#/search/simpleSearch=R+J+SHEPPARD+WILL+TRUST&perPage=200,
THE IWAJU TRUST,213800NR18IP8E7ZXI08,213800NR18IP8E7ZXI08,Match,4.296382300031837,https://search.gleif.org/#/search/simpleSearch=THE+IWAJU+TRUST&perPage=200,
ABBEYFIELDS SOLAR LIMITED,213800YU8AI3S62HBV07,213800YU8AI3S62HBV07,Match,4.525377000041772,https://search.gleif.org/#/search/simpleSearch=ABBEYFIELDS+SOLAR+LIMITED&perPage=200,
THE SHARE REPUBLIC.COM LTD,213800VAZKZYAXMFIN23,213800VAZKZYAXMFIN23,Match,4.6546337000327185,https://search.gleif.org/#/search/simpleSearch=THE+SHARE+REPUBLIC.COM+LTD&perPage=200,
THE LEE FAMILY UK DISCRETIONARY TRUS,213800AYD864LHL6EU86,Not found,Not Match,61.871764299983624,https://search.gleif.org/#/search/simpleSearch=THE+LEE+FAMILY+UK+DISCRETIONARY+TRUS&perPage=200,
THE MARGARET SENIOR WILL TRUST,213800ICZWWMFVJRE650,213800ICZWWMFVJRE650,Match,5.123655900009908,https://search.gleif.org/#/search/simpleSearch=THE+MARGARET+SENIOR+WILL+TRUST&perPage=200,
ARROW ENTERPRISE COMPUTING SOLUTIONS LIMITED,5493000IFTZO1DUN2X35,5493000IFTZO1DUN2X35,Match,4.996876700024586,https://search.gleif.org/#/search/simpleSearch=ARROW+ENTERPRISE+COMPUTING+SOLUTIONS+LIMITED&perPage=200,
MAERSK COMPANY LIMITED(THE),549300X49DIIU9EDQ897,549300X49DIIU9EDQ897,Match,5.012098399980459,https://search.gleif.org/#/search/simpleSearch=MAERSK+COMPANY+LIMITED%28THE%29&perPage=200,
Bhavik J Shah Family Office (UK) Ltd,254900PV5D9NNA5HH116,254900PV5D9NNA5HH116,Match,4.79820820002351,https://search.gleif.org/#/search/simpleSearch=Bhavik+J+Shah+Family+Office+%28UK%29+Ltd&perPage=200,
SNAKES & LADDERS DIRECTORS PENSION SCHEME,2138006K3UKXESROMO76,2138006K3UKXESROMO76,Match,3.553811300022062,https://search.gleif.org/#/search/simpleSearch=SNAKES+%26+LADDERS+DIRECTORS+PENSION+SCHEME&perPage=200,
Ben Carrington Trust,984500A737901R7A7D02,984500A737901R7A7D02,Match,34.51210799999535,https://search.gleif.org/#/search/simpleSearch=Ben+Carrington+Trust&perPage=200,
SHINCLIFFE CONSULTANCY LIMITED,254900O28ME050WM6K69,254900O28ME050WM6K69,Match,4.475745400006417,https://search.gleif.org/#/search/simpleSearch=SHINCLIFFE+CONSULTANCY+LIMITED&perPage=200,
DHILLON CAPITAL MANAGEMENT LIMITED,984500489BDDB1A79T57,984500489BDDB1A79T57,Match,4.028596499993,https://search.gleif.org/#/search/simpleSearch=DHILLON+CAPITAL+MANAGEMENT+LIMITED&perPage=200,
LPPI DIVERSIFYING STRATEGIES LP,213800MRY7JND7BCNY50,213800MRY7JND7BCNY50,Match,5.832858500012662,https://search.gleif.org/#/search/simpleSearch=LPPI+DIVERSIFYING+STRATEGIES+LP&perPage=200,
GC-INTERNATIONAL LLP,549300V63ZJQ8LHY4821,549300V63ZJQ8LHY4821,Match,4.81404470000416,https://search.gleif.org/#/search/simpleSearch=GC-INTERNATIONAL+LLP&perPage=200,
BODY ROCKET LTD,254900HAU3YPTMD40W08,254900HAU3YPTMD40W08,Match,4.5278200000175275,https://search.gleif.org/#/search/simpleSearch=BODY+ROCKET+LTD&perPage=200,
Askwith Properties Ltd,549300Z0KP06M8V2VL81,549300Z0KP06M8V2VL81,Match,17.305177100002766,https://search.gleif.org/#/search/simpleSearch=Askwith+Properties+Ltd&perPage=200,
AC NIELSEN (UK) PENSION PLAN,2138007N6S7EOQLFN442,2138007N6S7EOQLFN442,Match,12.090410800010432,https://search.gleif.org/#/search/simpleSearch=AC+NIELSEN+%28UK%29+PENSION+PLAN&perPage=200,
D G S INDEPENDENT FINANCIAL ADVISERS LIMITED,2138007CX4WEHBMF4138,2138007CX4WEHBMF4138,Match,4.692108199989889,https://search.gleif.org/#/search/simpleSearch=D+G+S+INDEPENDENT+FINANCIAL+ADVISERS+LIMITED&perPage=200,
DISC SETT OF JONATHAN P GOLLEDGE AND JEAN M GOLLEDGE,213800T33X3UWYQOO685,213800T33X3UWYQOO685,Match,4.706747999996878,https://search.gleif.org/#/search/simpleSearch=DISC+SETT+OF+JONATHAN+P+GOLLEDGE+AND+JEAN+M+GOLLEDGE&perPage=200,
TOM FRENCH & ASSOCIATES LIMITED,213800C489TP456XTG18,213800C489TP456XTG18,Match,5.464990199950989,https://search.gleif.org/#/search/simpleSearch=TOM+FRENCH+%26+ASSOCIATES+LIMITED&perPage=200,
BISTECH GROUP PLC,2138004VMMS5OHAC8869,2138004VMMS5OHAC8869,Match,4.964881600055378,https://search.gleif.org/#/search/simpleSearch=BISTECH+GROUP+PLC&perPage=200,
Roza Holdings Limited,5493000M25WNMCJPT621,5493000M25WNMCJPT621,Match,4.658752700022887,https://search.gleif.org/#/search/simpleSearch=Roza+Holdings+Limited&perPage=200,
PHOENIX SPV3 LIMITED,213800NG1JUVIV3DGS16,213800NG1JUVIV3DGS16,Match,5.269020300009288,https://search.gleif.org/#/search/simpleSearch=PHOENIX+SPV3+LIMITED&perPage=200,
Maxwell Lettings Limited,8945004P7KXIPMK70S82,8945004P7KXIPMK70S82,Match,4.2549516999861225,https://search.gleif.org/#/search/simpleSearch=Maxwell+Lettings+Limited&perPage=200,
"Cranium UK Intermediate, LTD",254900J8OHNJIRSOBE50,254900J8OHNJIRSOBE50,Match,3.7839983999729156,https://search.gleif.org/#/search/simpleSearch=Cranium+UK+Intermediate%2C+LTD&perPage=200,
THE AID FUND FOR CHRISTIAN SCIENTISTS IN NEED OF NURSING CARE,213800NWCDHWSG2JIN68,213800NWCDHWSG2JIN68,Match,4.899436200037599,https://search.gleif.org/#/search/simpleSearch=THE+AID+FUND+FOR+CHRISTIAN+SCIENTISTS+IN+NEED+OF+NURSING+CARE&perPage=200,
MASLOW NOTES ISSUER LIMITED,2138003NYQI5KKMPLC60,2138003NYQI5KKMPLC60,Match,4.786211099999491,https://search.gleif.org/#/search/simpleSearch=MASLOW+NOTES+ISSUER+LIMITED&perPage=200,
ALPHAMINER CAPITAL PARTNERS LLP,213800MJYZBZA6AU6F29,213800MJYZBZA6AU6F29,Match,4.184305000002496,https://search.gleif.org/#/search/simpleSearch=ALPHAMINER+CAPITAL+PARTNERS+LLP&perPage=200,
LIBERTY COMMERCIAL FINANCE LIMITED,984500E608A498865032,984500E608A498865032,Match,5.50033579999581,https://search.gleif.org/#/search/simpleSearch=LIBERTY+COMMERCIAL+FINANCE+LIMITED&perPage=200,
FERN-WEIR GROUP LIMITED,213800QN76BF1H863388,213800QN76BF1H863388,Match,3.8971604999969713,https://search.gleif.org/#/search/simpleSearch=FERN-WEIR+GROUP+LIMITED&perPage=200,
Bedrock Capital Ltd.,549300U4HP5MET7LKR98,549300U4HP5MET7LKR98,Match,4.457014599989634,https://search.gleif.org/#/search/simpleSearch=Bedrock+Capital+Ltd.&perPage=200,
VOLUMATIC LIMITED,984500B98EP54870E856,984500B98EP54870E856,Match,4.014748100016732,https://search.gleif.org/#/search/simpleSearch=VOLUMATIC+LIMITED&perPage=200,
THE MGTS SENTINEL FUND - MGTS SENTINEL ENTERPRISE FUND,213800JOY8SR8GR5O432,Not found,Not Match,62.77203120000195,https://search.gleif.org/#/search/simpleSearch=THE+MGTS+SENTINEL+FUND+-+MGTS+SENTINEL+ENTERPRISE+FUND&perPage=200,
